signal,rate_beta,rate_beta_t,pre_mean,pre_t,post_mean,post_t,n_pre,n_post,decay,rotated,pub_year,is_tstat,cat_econ,cat_data,mkt_beta,pre_vol,post_mean_2022,n_2022,post_mean_2023,n_2023,post_mean_2024,n_2024,real_beta,bei_beta,nom_beta_0321
std_turn,-0.0649210799941586,-4.4519475743047305,0.0036479570249296,1.0256343041504223,0.005996984796014,0.4687755916131029,384,36,0.0023490277710844,False,2001,3.74,liquidity,Trading,-1.0894778491982806,0.069698396619687,0.0179233441767122,12,0.0058876224180715,12,-0.0058200122067415,12,-0.0640099107367254,-0.2039574538143418,-0.1193896320204901
VarCF,-0.0508410323878983,-3.712628614219861,-0.0038874110184629,-1.275321214842624,0.017632043651096,2.099454710405964,384,36,0.0215194546695589,False,1996,2.5,cash flow risk,Accounting,-0.4608729485776525,0.059731921996655,0.0222144582553074,12,0.0178910174589983,12,0.0127906552389822,12,-0.0060349289610788,-0.1447097302723574,-0.06174996298144
zerotrade12M,-0.0333259021400085,-2.6870573046371184,0.002954438074882,1.07215855014008,0.0030543812613512,0.3231944102169973,384,36,9.994318646926398e-05,False,2006,4.4,liquidity,Trading,-0.9391961344949964,0.0539984744544812,0.0192863627088606,12,-0.0089784363427018,12,-0.0011447825821049,12,-0.0341336638500561,-0.1424628186026973,-0.0768276084570996
RealizedVol,-0.0865065086397001,-4.402436711195484,0.0059355821285289,1.3738253929039344,-0.0063420966886283,-0.4129524101172259,384,36,-0.0122776788171572,False,2006,2.86,volatility,Price,-1.1884852293195118,0.0846637286885291,0.0376772742404471,12,-0.036181419112394,12,-0.020522145193938,12,-0.0125076585084751,-0.1393374856044087,-0.0635180192823896
MaxRet,-0.091915143607537,-4.644874143207337,0.0048624163714921,1.1166696182800382,0.0088184656558072,0.6019342519663159,384,36,0.0039560492843151,False,2011,2.83,volatility,Price,-1.1683684962716758,0.0853282928603807,0.0458574379712858,12,-0.0049772410828477,12,-0.0144247999210162,12,-0.0160305798611968,-0.1392899582917938,-0.0661130567376207
zerotrade6M,-0.0293829013342067,-2.3153081018243977,0.003098540028131,1.114692775596418,0.0019125956613887,0.1895320332282048,384,36,-0.0011859443667423,False,2006,4.06,liquidity,Trading,-0.9236272135493416,0.0544712744725504,0.0227769017135545,12,-0.0099465734431906,12,-0.0070925412861978,12,-0.0347951651422862,-0.13491261513209,-0.074223281150137
MomVol,-0.0564896077073381,-2.1874579756424475,0.0145401055432398,2.860293037279402,0.0361593683506504,2.4858394132628128,384,36,0.0216192628074105,False,2000,5.78,momentum,Price,-0.6167098717033778,0.0996145189963534,0.0459600269376273,12,0.0131645993849177,12,0.0493534787294062,12,-0.0630613346710656,-0.1295473798780591,-0.0888252272449609
IdioVolAHT,-0.0789282018424951,-4.374685362146265,0.0024083845146462,0.5618805603391508,0.0107709696192716,0.9679745420060676,384,36,0.0083625851046254,False,2003,2.699,volatility,Price,-1.007171548878945,0.0839938390001309,0.0305432838673124,12,-0.0031287494455486,12,0.004898374436051,12,-0.0022780702807084,-0.1278006849583664,-0.0529939150926978
zerotrade1M,-0.0312708601331123,-2.7784241347909413,0.0035269084719474,1.393450618951405,0.0044738155246733,0.5317670725175696,384,36,0.0009469070527258,False,2006,3.46,liquidity,Trading,-0.8345383313516745,0.0495984630285436,0.0214354697252641,12,-0.0019366345274837,12,-0.0060773886237604,12,-0.0274451548251372,-0.1257445066358173,-0.0664009134622946
High52,-0.0530614820915209,-3.5871090398491003,0.0016605259822338,0.5323100010607044,0.0124132422825425,1.2523408818265374,384,36,0.0107527163003087,False,2004,2.0,momentum,Price,-0.6499324479755039,0.0611289113937623,0.0325356184565447,12,-0.0007775317412526,12,0.0054816401323355,12,-0.0113177447597879,-0.1213573343588461,-0.0552540250434619
