signal,rate_beta,rate_beta_t,pre_mean,pre_t,post_mean,post_t,n_pre,n_post,decay,rotated,pub_year,is_tstat,cat_econ,cat_data,mkt_beta,pre_vol,post_mean_2022,n_2022,post_mean_2023,n_2023,post_mean_2024,n_2024,real_beta,bei_beta,nom_beta_0321
std_turn,-0.0649210799941586,-4.4519475743047305,0.0036479570249296,1.0256343041504223,0.005996984796014,0.4687755916131029,384,36,0.0023490277710844,False,2001,3.74,liquidity,Trading,-1.0894778491982806,0.069698396619687,0.0179233441767122,12,0.0058876224180715,12,-0.0058200122067415,12,-0.0640099107367254,-0.2039574538143418,-0.1193896320204901
MomVol,-0.0564896077073381,-2.1874579756424475,0.0145401055432398,2.860293037279402,0.0361593683506504,2.4858394132628128,384,36,0.0216192628074105,False,2000,5.78,momentum,Price,-0.6167098717033778,0.0996145189963534,0.0459600269376273,12,0.0131645993849177,12,0.0493534787294062,12,-0.0630613346710656,-0.1295473798780591,-0.0888252272449609
RD,0.0157714703282666,1.1682442699433273,0.0120290100648583,3.7721500717685568,-0.0166217504181125,-1.5821829953337485,384,36,-0.0286507604829708,True,2001,,R&D,Accounting,0.3579273048840625,0.0624894263676876,-0.024376407107534,12,-0.0131057601517684,12,-0.0123830839950351,12,-0.0369826809974882,0.0524774569471748,-0.0001823285444154
STreversal,-0.0159572192560228,-1.052058982994125,0.0177351538117896,4.513512610952003,0.0035749666315441,0.2797353427377732,384,36,-0.0141601871802454,False,1990,12.44,short-term reversal,Price,0.4941753239066664,0.0769991465064239,-0.0133917985404078,12,0.0159007899029332,12,0.0082159085321071,12,-0.0369285743588871,0.0945088017277313,0.0158737172542371
zerotrade6M,-0.0293829013342067,-2.3153081018243977,0.003098540028131,1.114692775596418,0.0019125956613887,0.1895320332282048,384,36,-0.0011859443667423,False,2006,4.06,liquidity,Trading,-0.9236272135493416,0.0544712744725504,0.0227769017135545,12,-0.0099465734431906,12,-0.0070925412861978,12,-0.0347951651422862,-0.13491261513209,-0.074223281150137
zerotrade12M,-0.0333259021400085,-2.6870573046371184,0.002954438074882,1.07215855014008,0.0030543812613512,0.3231944102169973,384,36,9.994318646926398e-05,False,2006,4.4,liquidity,Trading,-0.9391961344949964,0.0539984744544812,0.0192863627088606,12,-0.0089784363427018,12,-0.0011447825821049,12,-0.0341336638500561,-0.1424628186026973,-0.0768276084570996
OperProfRD,-0.0409461914420235,-3.745116166099343,0.0072197664113508,3.0905676521393075,0.0072414190023367,0.6473158389071012,384,36,2.1652590985942084e-05,False,2016,1.84,profitability,Accounting,-0.456101450230032,0.0457773348081291,-0.0077249828847378,12,0.0093951453594029,12,0.020054094532345,12,-0.0330769691836007,-0.085932153652992,-0.0542474554899615
VolSD,-0.0316473127784741,-3.3575850371556504,8.306723747947659e-05,0.0438063361359232,-0.0008818576234149,-0.1614275814103652,384,36,-0.0009649248608944,False,2001,3.56,liquidity,Trading,-0.6752389442622357,0.0371585234676506,0.0003112686475755,12,-0.0018391954310512,12,-0.001117646086769,12,-0.0315122732827038,-0.0967151507213327,-0.057165000430581
betaVIX,-0.022671349521213,-2.6148786119996563,0.0059356217736906,3.010930043771276,0.0077655355503171,1.2315938682619072,384,36,0.0018299137766264,False,2006,3.9,volatility,Price,-0.1889704984384788,0.0386305744479802,0.0125963502531671,12,0.0101175827441429,12,0.0005826736536415,12,-0.0314316494458339,-0.0181983114818292,-0.0258520000804812
Mom6mJunk,-0.0440009782383463,-2.658869557046086,0.0135897523558904,3.4639905644222764,0.0070291593385462,0.7673667443591115,384,36,-0.0065605930173441,False,2007,4.29,momentum,Price,-0.5919344602409944,0.0768777128774168,0.024827627889108,12,-0.0219848624979755,12,0.0182447126245062,12,-0.0296773261862114,-0.0847440196476166,-0.0508216817586279
zerotrade1M,-0.0312708601331123,-2.7784241347909413,0.0035269084719474,1.393450618951405,0.0044738155246733,0.5317670725175696,384,36,0.0009469070527258,False,2006,3.46,liquidity,Trading,-0.8345383313516745,0.0495984630285436,0.0214354697252641,12,-0.0019366345274837,12,-0.0060773886237604,12,-0.0274451548251372,-0.1257445066358173,-0.0664009134622946
FEPS,-0.0463643555510195,-3.0759990189577104,0.0082357799056128,2.3717725175605744,0.0152235146697699,1.3993004335024024,384,36,0.0069877347641571,False,2006,2.66,profitability,Analyst,-0.6384537440449866,0.0680451712911063,0.0239274905082319,12,0.0106135683705309,12,0.011129485130547,12,-0.0257194825169665,-0.0283553483943453,-0.0263380958279399
FirmAgeMom,-0.0384990932424982,-2.7768930443724056,0.0146242404368895,4.984546968562588,0.0007642194647805,0.0926588077233324,384,36,-0.0138600209721089,False,2006,7.21,momentum,Price,-0.2167289660509274,0.0574927706322501,0.0132903443161654,12,-0.007129425651785,12,-0.0038682602700388,12,-0.025543826925686,-0.0380399093537386,-0.0303126694287539
Recomm_ShortInterest,-0.0115918611744733,-1.49920733883973,0.0059140197425032,2.6727966713191766,0.0085742954142073,0.8337310623444221,337,36,0.002660275671704,False,2011,4.09,recommendation,Analyst,-0.3753836364414929,0.0406192404961933,0.0241001279819238,12,-0.0083621855277696,12,0.0099849437884677,12,-0.0250508269511601,-0.0114330853580331,-0.0195294091838995
IO_ShortInterest,0.0276656627729258,0.8766432000143102,0.0402401257342419,3.6114031462767984,0.099091887037037,2.5013347463252527,384,36,0.0588517613027951,False,2005,,ownership,13F,-0.1444870011758503,0.2183478747554397,-0.0039430972222222,12,0.2131248638888888,12,0.0880938944444444,12,-0.0241200803035482,0.1143823258322163,0.0282726432492648
IndMom,0.0006242017228433,0.0574690340336334,0.0039905966482137,1.9835744449104764,-0.002545021646593,-0.4486893945486464,384,36,-0.0065356182948067,False,1999,4.65,momentum,Price,0.0279603369890656,0.0394234784884037,-0.0017256635542051,12,-0.0103597395978063,12,0.0044503382122323,12,-0.0230006497796304,0.0124046452403153,-0.0085742403007996
NetDebtPrice,-0.0037100218315719,-0.3685394884431338,0.0075719720158165,3.2471499517375984,-0.0094343944259386,-0.8185531019735526,384,36,-0.0170063664417551,True,2007,2.34,leverage,Accounting,-0.0755827004117261,0.0456953773273298,-0.0363086376211401,12,0.0042351547812692,12,0.0037702995620548,12,-0.022554689628332,-0.0573539658028307,-0.0356948398313933
BookLeverage,0.0274477274457209,2.765458928281333,0.0012493335222365,0.5584404230098968,-0.0128195036587483,-1.82253786046246,384,36,-0.0140688371809848,False,1992,5.34,leverage,Accounting,0.2655448283103445,0.0438396580468086,-0.0290629342934687,12,-0.0040325959248593,12,-0.0053629807579168,12,-0.0218711296596202,0.0224678662661335,-0.0039811445048272
ShortInterest,-0.0173433912936795,-2.095058491576946,0.008511330786707,4.681496451372277,0.0118915857363667,1.506989958599124,384,36,0.0033802549496597,False,2001,,short sale constraints,Trading,-0.5009498162686821,0.0356269285704357,0.0168612660202577,12,-0.0020604299273904,12,0.020873921116233,12,-0.021768389972116,-0.0229963377601735,-0.0216805979504429
CredRatDG,-0.0114058659947045,-1.1993659956165408,0.004335538708634,2.201436218097155,-0.0010593725002423,-0.1809265866438325,384,36,-0.0053949112088763,True,2001,11.04,other,Analyst,-0.3631245579219054,0.038592469802892,0.0012244828030578,12,-0.0002253006194071,12,-0.0041772996843777,12,-0.0207150683498607,-0.0609253297550377,-0.0363154554542403
