check,N,coef,t,p,status,category,excluded_n,month_left_out,boot_se,boot_p2_5,boot_p97_5,share_coef_gt_0,skipped
leave_one_cat,173,0.2107356801482106,4.060758177942536,4.891361429414112e-05,ok,R&D,,,,,,,
leave_one_cat,172,0.2115523888449115,4.061745297468264,4.870720256710904e-05,ok,accruals,,,,,,,
leave_one_cat,171,0.2070420327175737,3.917118303138545,8.961377746380714e-05,ok,asset composition,,,,,,,
leave_one_cat,175,0.2110148804823864,4.055498585866868,5.002747516845301e-05,ok,cash flow risk,,,,,,,
leave_one_cat,172,0.2259753802555387,4.428934189807455,9.469991165364768e-06,ok,composite accounting,,,,,,,
leave_one_cat,175,0.2057238461228071,3.9634439548306566,7.387621313223065e-05,ok,default risk,,,,,,,
leave_one_cat,174,0.2137550384700254,4.09288567652315,4.260378010118153e-05,ok,earnings event,,,,,,,
leave_one_cat,172,0.2146738469754125,4.125032317242169,3.706827034901048e-05,ok,earnings forecast,,,,,,,
leave_one_cat,174,0.2135821458328308,4.102963565844266,4.078915025430721e-05,ok,earnings growth,,,,,,,
leave_one_cat,164,0.1783382082075317,3.4141770918440346,0.0006397497798019,ok,external financing,,,,,,,
leave_one_cat,175,0.2111399625870081,4.058547475514665,4.937889557446772e-05,ok,info proxy,,,,,,,
leave_one_cat,169,0.2178752421016653,4.152757483394208,3.284928139345422e-05,ok,investment,,,,,,,
leave_one_cat,167,0.2052773620551455,3.968213312494624,7.241350274626916e-05,ok,investment alt,,,,,,,
leave_one_cat,173,0.2106473106175077,4.043527644539765,5.265294480785169e-05,ok,investment growth,,,,,,,
leave_one_cat,167,0.2087656418127645,3.976307328033596,6.999365842467881e-05,ok,lead lag,,,,,,,
leave_one_cat,172,0.2015119158817101,3.795225972147784,0.0001475090408981,ok,leverage,,,,,,,
leave_one_cat,169,0.1922854083012335,3.502716640998888,0.0004605391032266,ok,liquidity,,,,,,,
leave_one_cat,171,0.2112126742760034,3.95239202219024,7.737384619352247e-05,ok,long term reversal,,,,,,,
leave_one_cat,165,0.2477852825076334,5.186514603956198,2.1426622893352669e-07,ok,momentum,,,,,,,
leave_one_cat,153,0.2042563747295679,3.732729097549405,0.0001894162815667,ok,other,,,,,,,
leave_one_cat,175,0.2118891102503889,4.0604867429615545,4.897051792900376e-05,ok,ownership,,,,,,,
leave_one_cat,172,0.2084149851519133,3.98105417530844,6.861030820341667e-05,ok,payout indicator,,,,,,,
leave_one_cat,168,0.218997025634298,4.033157662244584,5.5032330015436735e-05,ok,profitability,,,,,,,
leave_one_cat,174,0.2099421995314752,4.018622987037705,5.85392512836364e-05,ok,profitability alt,,,,,,,
leave_one_cat,174,0.2179754424350695,4.150507804682814,3.31738455529748e-05,ok,recommendation,,,,,,,
leave_one_cat,170,0.2082182293064693,4.008689361829437,6.105666882972872e-05,ok,risk,,,,,,,
leave_one_cat,172,0.2102832135836027,4.050742000153478,5.105547657905143e-05,ok,sales growth,,,,,,,
leave_one_cat,172,0.235857460427202,4.012890140424223,5.997983220392608e-05,ok,short sale constraints,,,,,,,
leave_one_cat,175,0.2220419901394951,4.012854209028843,5.998896620487116e-05,ok,short-term reversal,,,,,,,
leave_one_cat,175,0.2105806703901324,4.044874783347933,5.23510974116728e-05,ok,size,,,,,,,
leave_one_cat,162,0.1747961775382933,3.1381552605754828,0.0017001479517733,ok,valuation,,,,,,,
leave_one_cat,170,0.2259933113509838,4.390515747461732,1.130821250056586e-05,ok,volatility,,,,,,,
leave_one_cat,170,0.2110969669170831,4.044030350254556,5.254011340020144e-05,ok,volume,,,,,,,
