signal,rate_beta,rate_beta_t,pre_mean,pre_t,post_mean,post_t,n_pre,n_post,decay,rotated,pub_year,is_tstat,cat_econ,cat_data,mkt_beta,pre_vol,post_mean_2022,n_2022,post_mean_2023,n_2023,post_mean_2024,n_2024,real_beta,bei_beta,nom_beta_0321
RD,0.0157714703282666,1.1682442699433273,0.0120290100648583,3.7721500717685568,-0.0166217504181125,-1.5821829953337485,384,36,-0.0286507604829708,True,2001,,R&D,Accounting,0.3579273048840625,0.0624894263676876,-0.024376407107534,12,-0.0131057601517684,12,-0.0123830839950351,12,-0.0369826809974882,0.0524774569471748,-0.0001823285444154
NetDebtPrice,-0.0037100218315719,-0.3685394884431338,0.0075719720158165,3.2471499517375984,-0.0094343944259386,-0.8185531019735526,384,36,-0.0170063664417551,True,2007,2.34,leverage,Accounting,-0.0755827004117261,0.0456953773273298,-0.0363086376211401,12,0.0042351547812692,12,0.0037702995620548,12,-0.022554689628332,-0.0573539658028307,-0.0356948398313933
CredRatDG,-0.0114058659947045,-1.1993659956165408,0.004335538708634,2.201436218097155,-0.0010593725002423,-0.1809265866438325,384,36,-0.0053949112088763,True,2001,11.04,other,Analyst,-0.3631245579219054,0.038592469802892,0.0012244828030578,12,-0.0002253006194071,12,-0.0041772996843777,12,-0.0207150683498607,-0.0609253297550377,-0.0363154554542403
MomOffSeason16YrPlus,0.0012745964926451,0.2166400247947425,0.0029879798837518,2.040150912008796,-0.0032796453776337,-0.706507043255877,384,36,-0.0062676252613855,True,2008,3.35,other,Price,-0.0598969151309407,0.0286999399262518,-0.0116532301818805,12,0.0026777519030862,12,-0.0008634578541068,12,-0.0160932200117885,0.0109453006204346,-0.0049717447774685
CBOperProf,-0.0276032977413629,-2.751972700892072,0.0068264456068358,3.388235361155872,-0.0007631978308434,-0.069579013914469,384,36,-0.0075896434376792,True,2016,3.17,profitability,Accounting,-0.3690596392818062,0.0394808664954312,-0.0162162942214715,12,0.0076823446172429,12,0.0062443561116983,12,-0.0130468491183651,-0.0518705490555798,-0.0285274513394161
RDcap,0.0159493259589528,1.687784229019216,0.0042382980695405,2.088111451488225,-0.0110918184167885,-1.3124737761575629,384,36,-0.0153301164863291,True,2011,2.64,asset composition,Accounting,0.3421393453594558,0.0397743813561224,-0.0304428382069137,12,-0.0003320781227308,12,-0.0025005389207209,12,-0.0110403188583389,0.0394994169394698,0.0091474324794967
MomSeason,-0.0055616802142043,-0.7882382353878654,0.00750951679364,4.0621291344914185,-0.0122093767929336,-1.688658514960914,384,36,-0.0197188935865737,True,2008,5.35,other,Price,-0.0091215594795902,0.0362262916815566,-0.0252280126774579,12,0.0160973892851891,12,-0.0274975069865321,12,-0.0081221675336112,-0.0028874688191483,-0.0056066070051754
ChInvIA,0.0052644185527709,1.099930864702518,0.0033691229945465,3.2305092708632466,-0.0045190856756878,-1.1296253442851878,384,36,-0.0078882086702344,True,1998,2.914,investment growth,Accounting,0.0437780640631217,0.0204367337168766,-0.0122580880746452,12,-0.0008108821167905,12,-0.0004882868356278,12,-0.0080998481976799,0.0273317814493649,0.0060240969856965
tang,0.0104835761734341,1.4015913291262592,0.0045327826190118,2.0668906333572563,-0.0022342857159188,-0.2371071223143401,384,36,-0.0067670683349306,True,2009,3.37,asset composition,Accounting,0.2083178114390126,0.0429747151681682,-0.0192017063885001,12,0.0066269832670704,12,0.0058718659736731,12,-0.0071268982355305,0.0400534641687576,0.0123326206876405
DolVol,0.0067655848042059,0.5202052616824868,0.0062133613083768,2.934841525264379,-0.0036063278928357,-0.7501361600225759,384,36,-0.0098196892012125,True,1998,2.86,volume,Trading,-0.4760315086800505,0.0414865733963713,-0.0029385550562827,12,-0.0070242723140276,12,-0.0008561563081967,12,-0.0066735026639229,0.0113659492830669,0.0015282648127997
SurpriseRD,0.0044016037779326,0.8228256482812538,0.0022423361320213,2.13263885979815,-0.0033032034207577,-1.094306631511065,384,36,-0.0055455395527791,True,2004,3.540083799,R&D,Accounting,0.1227295196487428,0.02060387985532,-0.006284868401551,12,-0.0012135479734529,12,-0.0024111938872692,12,-0.0058060022274755,0.0022359404439255,-0.0025161078176496
Accruals,0.0113549947695894,2.9570552130102388,0.0019407592182203,2.1575503097206656,-0.003853384253808,-1.168579105097403,384,36,-0.0057941434720284,True,1996,4.71,accruals,Accounting,0.0898082547950565,0.0176269161440158,0.0058199118607136,12,-0.0118404010645767,12,-0.0055396635575612,12,-0.0045885901053345,0.0367735816991479,0.0118577414778986
Herf,-0.0068312232451273,-1.399986891446886,0.0031012146408374,2.3355229430584994,-0.0138933496861174,-2.258745347839182,384,36,-0.0169945643269549,True,2006,2.14,other,Other,0.0931093496995067,0.0260203599385837,-0.0239199658963768,12,-0.0101468790044201,12,-0.0076132041575553,12,-0.0045297797131764,-0.0016221704882723,-0.002751858758356
DebtIssuance,-0.0025544061064247,-0.6463196379103672,0.0032984256048943,4.158713648877336,-0.0060173994755011,-1.5986592563151552,384,36,-0.0093158250803954,True,1999,2.19,external financing,Accounting,-0.0459288239498859,0.0155422284267217,-0.0110778143643847,12,-0.0048028517289912,12,-0.0021715323331274,12,-0.0036871979424524,-0.0118308296512316,-0.0065585126035846
realestate,-0.0158305913676538,-2.07912691959365,0.0035525543982106,2.211707185983103,-0.0034793777488182,-0.574592220984177,384,36,-0.0070319321470289,True,2010,1.8,asset composition,Accounting,-0.0812772752842187,0.0314759408089666,-0.0255341194973325,12,0.0123217886589617,12,0.0027741975919158,12,-0.0036061962491713,-0.0315585389240487,-0.0146565864530297
MomOffSeason06YrPlus,0.0022796743989013,0.3006540715216835,0.0056255422398163,3.76722461841805,-0.0032720151308034,-0.4947435061367486,384,36,-0.0088975573706197,True,2008,4.62,other,Price,-0.0982531099666013,0.0292623019007771,0.0054423563302238,12,-0.0059874138713049,12,-0.0092709878513292,12,-0.0032463187852824,0.0043288194593996,0.0001977769895243
TotalAccruals,0.0161703400611906,1.8897712072041448,0.0040059143449858,2.408975542508108,-0.0047367448268904,-1.1345317228118323,384,36,-0.0087426591718763,True,2005,6.38,investment alt,Accounting,0.1125430458993095,0.0325862871593778,-0.0015129142490433,12,-0.0075129954260516,12,-0.0051843248055763,12,-0.0031818280174573,0.0254182969633715,0.0087603700728625
OrgCap,-0.0167683241670981,-2.346715741812425,0.0038854480020433,2.568494450542928,-0.0015918455679409,-0.2936760697946218,384,36,-0.0054772935699843,True,2013,2.85,R&D,Accounting,-0.2296973911109622,0.0296434046026016,-0.0190318038913705,12,0.0104117637681501,12,0.0038445034193975,12,-0.0029724114759337,-0.0121273983204899,-0.0067166884507221
CoskewACX,-0.0022051444334625,-0.2744860309527557,0.0043838807772643,2.807533404257112,-0.0011865571951741,-0.186067761992882,384,36,-0.0055704379724384,True,2006,2.76,risk,Price,0.1567077054833232,0.0305984491047145,0.0076175354670448,12,-0.0125363083075012,12,0.0013591012549339,12,5.536669528771709e-05,0.0249578328053968,0.0101252644552051
RDS,0.0116701773628897,2.3145254452934743,0.0028604713304671,2.555382594748155,-0.0044300412011258,-1.4057798358450957,384,36,-0.007290512531593,True,2011,5.84,composite accounting,Accounting,-0.0141805465185289,0.0219354869142646,-0.0005791613133112,12,-0.0078046851683165,12,-0.0049062771217497,12,0.0022376821139413,0.0322111295040301,0.0144362737025375
Frontier,0.0344480635186224,2.1588446082089665,0.0175247624557033,5.867519251429428,-0.0082125430960975,-0.5826064494139334,384,36,-0.0257373055518008,True,2009,4.863206041,valuation,Accounting,-0.1209920476064105,0.0585279386950446,-0.0121273444766093,12,-0.0180093332440158,12,0.0054990484323325,12,0.0029826821519445,0.0712485329480237,0.030981912513101
ChNNCOA,0.0010154946914215,0.3323564988354185,0.0016893797632569,2.771082451656971,-0.0023845566942955,-0.7025289949897547,384,36,-0.0040739364575524,True,2008,5.26,investment alt,Accounting,-0.0317553816067778,0.0119465760372128,0.0052057844221691,12,-0.0067669450643505,12,-0.0055925094407051,12,0.003007011525637,0.0011664066244979,0.0023931688489915
ConsRecomm,-0.0132083841434713,-1.3630286960082767,0.0052609093539851,2.6350528870298966,-0.0062028509770694,-1.0904742436259167,338,36,-0.0114637603310545,True,2001,3.197,recommendation,Analyst,-0.0126209847529616,0.0367053891558492,-0.0035150496126472,12,-0.0135068262320236,12,-0.0015866770865373,12,0.0031404586392504,-0.0096105669025772,-0.0018814421415892
LRreversal,0.0271402102509592,2.0586449867187384,0.0069143611937694,2.523247467613827,-0.0091453535977798,-1.22031779152563,384,36,-0.0160597147915492,True,1985,3.29,long term reversal,Price,0.1423751035053726,0.0536979651482311,0.0077417954509017,12,-0.0244122864488422,12,-0.0107655697953989,12,0.0038596280041415,0.0815280775393471,0.0355583036603828
OptionVolume2,0.0095466520610448,1.0235717647979126,0.0031928350967628,2.045281213152661,-0.0067019530717836,-1.8811016350887648,309,21,-0.0098947881685464,True,2012,2.45,volume,Options,0.0787728618795245,0.0274411747362025,-0.0127413633485085,12,0.0013505939638495,9,,0,0.0042418651575155,0.0144790008358769,0.0081746935995017
OPLeverage,0.0384834651847226,5.244358052338738,0.0038058653814166,2.0729001250807197,-0.0093877435612087,-1.6729077760519273,384,36,-0.0131936089426253,True,2011,3.38,other,Accounting,0.3129042443375346,0.0359783015164055,-0.0159451005947588,12,-0.0038452365811612,12,-0.0083728935077062,12,0.0053391424558094,0.0528866269057914,0.0238719983121491
