Theme,Excluded signal
beta_size_liquidity,AnnouncementReturn
beta_size_liquidity,Beta
beta_size_liquidity,BetaFP
beta_size_liquidity,BetaLiquidityPS
beta_size_liquidity,BetaTailRisk
beta_size_liquidity,BidAskSpread
beta_size_liquidity,ChAssetTurnover
beta_size_liquidity,CoskewACX
beta_size_liquidity,Coskewness
beta_size_liquidity,DolVol
beta_size_liquidity,FirmAgeMom
beta_size_liquidity,High52
beta_size_liquidity,IdioVol3F
beta_size_liquidity,IdioVolAHT
beta_size_liquidity,Illiquidity
beta_size_liquidity,IndMom
beta_size_liquidity,IndRetBig
beta_size_liquidity,IntMom
beta_size_liquidity,LRreversal
beta_size_liquidity,MRreversal
beta_size_liquidity,MaxRet
beta_size_liquidity,Mom12m
beta_size_liquidity,Mom12mOffSeason
beta_size_liquidity,Mom6m
beta_size_liquidity,Mom6mJunk
beta_size_liquidity,MomOffSeason
beta_size_liquidity,MomOffSeason06YrPlus
beta_size_liquidity,MomOffSeason11YrPlus
beta_size_liquidity,MomOffSeason16YrPlus
beta_size_liquidity,MomRev
beta_size_liquidity,MomSeason
beta_size_liquidity,MomSeason06YrPlus
beta_size_liquidity,MomSeason11YrPlus
beta_size_liquidity,MomSeason16YrPlus
beta_size_liquidity,MomSeasonShort
beta_size_liquidity,MomVol
beta_size_liquidity,NetDebtPrice
beta_size_liquidity,OptionVolume1
beta_size_liquidity,OptionVolume2
beta_size_liquidity,Price
beta_size_liquidity,PriceDelayRsq
beta_size_liquidity,PriceDelaySlope
beta_size_liquidity,PriceDelayTstat
beta_size_liquidity,RIO_Turnover
beta_size_liquidity,RealizedVol
beta_size_liquidity,ResidualMomentum
beta_size_liquidity,ReturnSkew
beta_size_liquidity,ReturnSkew3F
beta_size_liquidity,STreversal
beta_size_liquidity,ShareVol
beta_size_liquidity,Size
beta_size_liquidity,TrendFactor
beta_size_liquidity,VolMkt
beta_size_liquidity,VolSD
beta_size_liquidity,VolumeTrend
beta_size_liquidity,betaVIX
beta_size_liquidity,retConglomerate
beta_size_liquidity,std_turn
beta_size_liquidity,zerotrade12M
beta_size_liquidity,zerotrade1M
beta_size_liquidity,zerotrade6M
lowvol_lottery,BetaTailRisk
lowvol_lottery,CoskewACX
lowvol_lottery,Coskewness
lowvol_lottery,DolVol
lowvol_lottery,ForecastDispersion
lowvol_lottery,IdioVol3F
lowvol_lottery,IdioVolAHT
lowvol_lottery,MaxRet
lowvol_lottery,MomVol
lowvol_lottery,OptionVolume1
lowvol_lottery,OptionVolume2
lowvol_lottery,RIO_Volatility
lowvol_lottery,RealizedVol
lowvol_lottery,ReturnSkew
lowvol_lottery,ReturnSkew3F
lowvol_lottery,ShareVol
lowvol_lottery,VarCF
lowvol_lottery,VolMkt
lowvol_lottery,VolSD
lowvol_lottery,VolumeTrend
lowvol_lottery,betaVIX
lowvol_lottery,std_turn
rd_intangible_growth,AdExp
rd_intangible_growth,AssetGrowth
rd_intangible_growth,BrandInvest
rd_intangible_growth,ChAssetTurnover
rd_intangible_growth,ChInvIA
rd_intangible_growth,CitationsRD
rd_intangible_growth,EarningsConsistency
rd_intangible_growth,EarningsStreak
rd_intangible_growth,EarningsSurprise
rd_intangible_growth,GrAdExp
rd_intangible_growth,GrLTNOA
rd_intangible_growth,GrSaleToGrInv
rd_intangible_growth,GrSaleToGrOverhead
rd_intangible_growth,IntanBM
rd_intangible_growth,IntanCFP
rd_intangible_growth,IntanEP
rd_intangible_growth,IntanSP
rd_intangible_growth,InvGrowth
rd_intangible_growth,MeanRankRevGrowth
rd_intangible_growth,NumEarnIncrease
rd_intangible_growth,OrderBacklog
rd_intangible_growth,OrgCap
rd_intangible_growth,RD
rd_intangible_growth,RDIPO
rd_intangible_growth,RDS
rd_intangible_growth,RDcap
rd_intangible_growth,RevenueSurprise
rd_intangible_growth,SurpriseRD
rd_intangible_growth,fgr5yrLag
rd_intangible_growth,grcapx
rd_intangible_growth,grcapx3y
momentum_reversal,AnalystRevision
momentum_reversal,ChangeInRecommendation
momentum_reversal,ConsRecomm
momentum_reversal,CustomerMomentum
momentum_reversal,DownRecomm
momentum_reversal,EarningsStreak
momentum_reversal,EarningsSurprise
momentum_reversal,FirmAgeMom
momentum_reversal,High52
momentum_reversal,IndMom
momentum_reversal,IntMom
momentum_reversal,IntanBM
momentum_reversal,IntanCFP
momentum_reversal,IntanEP
momentum_reversal,IntanSP
momentum_reversal,LRreversal
momentum_reversal,MRreversal
momentum_reversal,MeanRankRevGrowth
momentum_reversal,Mom12m
momentum_reversal,Mom12mOffSeason
momentum_reversal,Mom6m
momentum_reversal,Mom6mJunk
momentum_reversal,MomOffSeason
momentum_reversal,MomOffSeason06YrPlus
momentum_reversal,MomOffSeason11YrPlus
momentum_reversal,MomOffSeason16YrPlus
momentum_reversal,MomRev
momentum_reversal,MomSeason
momentum_reversal,MomSeason06YrPlus
momentum_reversal,MomSeason11YrPlus
momentum_reversal,MomSeason16YrPlus
momentum_reversal,MomSeasonShort
momentum_reversal,MomVol
momentum_reversal,REV6
momentum_reversal,Recomm_ShortInterest
momentum_reversal,ResidualMomentum
momentum_reversal,RevenueSurprise
momentum_reversal,STreversal
momentum_reversal,ShareVol
momentum_reversal,SurpriseRD
momentum_reversal,TrendFactor
momentum_reversal,UpRecomm
momentum_reversal,iomom_cust
momentum_reversal,iomom_supp
