signal,rate_beta,rate_beta_t,pre_mean,pre_t,post_mean,post_t,n_pre,n_post,decay,rotated,pub_year,is_tstat,cat_econ,cat_data,mkt_beta,pre_vol,post_mean_2022,n_2022,post_mean_2023,n_2023,post_mean_2024,n_2024,real_beta,bei_beta,nom_beta_0321
SP,0.0212765974986724,1.8037144560262783,0.0082073653893575,3.450566528760981,0.016374093994256,1.828118837205751,384,36,0.0081667286048984,False,1996,2.52,valuation,Accounting,-0.1526330618560448,0.0466099863171716,0.0348643509424935,12,0.0084039095173019,12,0.0058540215229726,12,0.0365035187692672,0.0462278653097583,0.0402625787794031
IntanCFP,0.0149587298529744,1.404712598181466,0.0030692128548195,1.5727766356025927,0.0042260271557394,0.6531860543371399,384,36,0.0011568143009199,False,2006,4.89,long term reversal,Accounting,0.044710879930517,0.038240676958776,0.0203285666258721,12,0.0006254643579113,12,-0.0082759495165652,12,0.0229829076426667,0.0474065200063595,0.0324852562745258
AccrualsBM,0.0263191294651024,2.3083938452332897,0.0136439282384578,5.4131602728077,0.0078103450244845,0.5676220415983647,384,36,-0.0058335832139732,False,2004,5.5,valuation,Accounting,-0.1432190434228563,0.0493917203069068,0.0250234277966362,12,-0.022282674509732,12,0.0206902817865495,12,0.0160485670006377,0.0486873370088554,0.029436461333274
IntanBM,0.0155953806238038,1.5625206705721904,0.0018500395521013,1.0081328763695572,0.0029261121202312,0.4286049843967949,384,36,0.0010760725681298,False,2006,3.99,long term reversal,Accounting,0.0519664459939483,0.0359607588470651,0.0201037400599208,12,0.0011744647026271,12,-0.0124998684018542,12,0.0266134799377499,0.0509051345834749,0.0361145953055343
RD,0.0157714703282666,1.1682442699433273,0.0120290100648583,3.7721500717685568,-0.0166217504181125,-1.5821829953337485,384,36,-0.0286507604829708,True,2001,,R&D,Accounting,0.3579273048840625,0.0624894263676876,-0.024376407107534,12,-0.0131057601517684,12,-0.0123830839950351,12,-0.0369826809974882,0.0524774569471748,-0.0001823285444154
OPLeverage,0.0384834651847226,5.244358052338738,0.0038058653814166,2.0729001250807197,-0.0093877435612087,-1.6729077760519273,384,36,-0.0131936089426253,True,2011,3.38,other,Accounting,0.3129042443375346,0.0359783015164055,-0.0159451005947588,12,-0.0038452365811612,12,-0.0083728935077062,12,0.0053391424558094,0.0528866269057914,0.0238719983121491
FirmAge,0.0220887831580234,4.232161107800081,-0.0003308909575375,-0.2454790544476281,-0.0057764890345027,-0.8785297645504859,384,36,-0.0054455980769652,False,1984,2.48,info proxy,Other,0.2697460551700485,0.0264141153155937,-0.0225635076558136,12,-0.0007682297105357,12,0.006002270262841,12,-0.001543079861116,0.0538523376710764,0.0208926998419217
MomOffSeason,0.022411889337528,1.6269164870468276,0.0080658804415853,2.839226582562038,0.0051984513030679,0.5957127030866186,384,36,-0.0028674291385174,False,2008,5.6,other,Price,0.0093740197272351,0.0556695024751433,0.0173235770986289,12,-0.0078650988341156,12,0.0061368756446905,12,0.0236050295281545,0.0548271204033649,0.0360989256799246
BM,0.0217251682881598,1.855262375881144,0.0038470220784105,1.610711118738572,0.0127497358302094,1.5796033638531513,384,36,0.0089027137517988,False,1980,,valuation,Accounting,0.0161899968402431,0.0468028860629305,0.0394403228848021,12,-0.0015665974677383,12,0.0003754820735644,12,0.0284180606508553,0.0679835400265949,0.0443867090737065
Frontier,0.0344480635186224,2.1588446082089665,0.0175247624557033,5.867519251429428,-0.0082125430960975,-0.5826064494139334,384,36,-0.0257373055518008,True,2009,4.863206041,valuation,Accounting,-0.1209920476064105,0.0585279386950446,-0.0121273444766093,12,-0.0180093332440158,12,0.0054990484323325,12,0.0029826821519445,0.0712485329480237,0.030981912513101
