signal,rate_beta,rate_beta_t,pre_mean,pre_t,post_mean,post_t,n_pre,n_post,decay,rotated,pub_year,is_tstat,cat_econ,cat_data,mkt_beta,pre_vol,post_mean_2022,n_2022,post_mean_2023,n_2023,post_mean_2024,n_2024,real_beta,bei_beta,nom_beta_0321
MomOffSeason,0.022411889337528,1.6269164870468276,0.0080658804415853,2.839226582562038,0.0051984513030679,0.5957127030866186,384,36,-0.0028674291385174,False,2008,5.6,other,Price,0.0093740197272351,0.0556695024751433,0.0173235770986289,12,-0.0078650988341156,12,0.0061368756446905,12,0.0236050295281545,0.0548271204033649,0.0360989256799246
BidAskSpread,0.0735342503881742,3.794829988541861,0.0035922150520879,0.850249213596635,-0.0257647824150471,-1.882214113767107,384,36,-0.0293569974671351,False,1986,,liquidity,Trading,0.7279360660056846,0.0827907280195168,-0.05701353677979,12,-0.0135111338707927,12,-0.0067696765945587,12,0.0247748656896966,0.1713182984820164,0.0834729053901631
IntanBM,0.0155953806238038,1.5625206705721904,0.0018500395521013,1.0081328763695572,0.0029261121202312,0.4286049843967949,384,36,0.0010760725681298,False,2006,3.99,long term reversal,Accounting,0.0519664459939483,0.0359607588470651,0.0201037400599208,12,0.0011744647026271,12,-0.0124998684018542,12,0.0266134799377499,0.0509051345834749,0.0361145953055343
IntanEP,0.0048455043805184,0.5368657285857027,0.002467489392255,1.7408828609160178,0.003601922573229,0.6106041720540705,384,36,0.001134433180974,False,2006,4.64,long term reversal,Accounting,-0.0820864079670572,0.027774826635146,0.0144868993313544,12,-0.0012111051041582,12,-0.0024700265075091,12,0.0275564153480293,0.0010011516974363,0.0169394150462376
XFIN,-0.0178465671348067,-1.461511434264613,0.0100581443837733,3.5036672055841,0.0357882025296078,3.280101319640546,384,36,0.0257300581458345,False,2006,5.7,external financing,Accounting,-0.4842235606726968,0.0562549353094228,0.0554526403088466,12,0.0265137298668093,12,0.0253982374131675,12,0.0278668567384129,-0.056298369389336,-0.0057947944231848
NetPayoutYield,-0.0170405807383646,-1.5132083993850274,0.0083335345899247,3.038974258002285,0.0348629925645616,2.988835106827677,384,36,0.0265294579746368,False,2007,2.83,valuation,Accounting,-0.4066781115393421,0.0537363090730967,0.0581116020527649,12,0.0293837372623419,12,0.017093638378578,12,0.0281552763243707,-0.0705288707314,-0.0111625006693249
BM,0.0217251682881598,1.855262375881144,0.0038470220784105,1.610711118738572,0.0127497358302094,1.5796033638531513,384,36,0.0089027137517988,False,1980,,valuation,Accounting,0.0161899968402431,0.0468028860629305,0.0394403228848021,12,-0.0015665974677383,12,0.0003754820735644,12,0.0284180606508553,0.0679835400265949,0.0443867090737065
Beta,0.0763550882701824,4.209462911914324,0.0048789469396624,1.1908564300427318,-0.0014513462186326,-0.1225377079254574,384,36,-0.0063302931582951,False,1973,2.57,risk,Price,1.2941387141737113,0.0802846098507966,-0.0188905255108082,12,0.0089367312458569,12,0.0055997556090534,12,0.0299321653090938,0.207109891636101,0.1007136224452444
Leverage,-0.0163678925454036,-1.1675966212963875,0.0030131759174415,1.0956291123371094,0.0074510246211443,0.830090902083492,384,36,0.0044378487037027,False,1988,3.93,leverage,Accounting,-0.3564351986029765,0.0538922773764591,0.0299257604632271,12,-0.0062089330277627,12,-0.0013637535720313,12,0.0311454562887475,0.007051827734857,0.0217340753539536
BetaTailRisk,0.0311200160201645,3.092607433375942,0.0024135838930128,1.2636381238142556,0.0084979698641471,1.5639389535775048,384,36,0.0060843859711342,False,2014,2.48,risk,Price,0.5966259137318661,0.0374287472203597,0.0049674957976227,12,0.0158782147994668,12,0.0046481989953517,12,0.0314119970464431,0.1102915850598501,0.0625901693033438
AM,-0.0095788971716083,-0.7032064994661064,0.0044624947782851,1.6883430560131043,0.0073928776641145,0.8390881403574412,384,36,0.0029303828858293,False,1992,5.69,valuation,Accounting,-0.3577243488978466,0.051794379810204,0.0280062786002438,12,-0.0063875994704374,12,0.000559953862537,12,0.0316760299535826,0.0105231800716441,0.0235034948179384
cfp,-0.0149278914821485,-1.1807263719427563,0.0038655462216471,1.380601938899827,0.0290143524971064,2.4696661843269725,384,36,0.0251488062754593,False,2004,2.77,valuation,Accounting,-0.2497081844263924,0.0548665943652047,0.054201080657412,12,0.0195749918410901,12,0.0132669849928173,12,0.0333653343076598,-0.0222374783542408,0.0105811235388782
