spec,N,countries,factors,themes,real_beta_coef,real_beta_t,real_beta_p,bei_beta_coef,bei_beta_t,mkt_beta_coef,mkt_beta_t,pre_vol_coef,pre_vol_t,R2,country_FE,theme_FE,SE,note
leave_one_country_aus,3098,21,153,7,0.06295939458348328,7.580365358569821,3.44583199779822e-14,-0.025318222781512214,-3.18947206449068,0.013965867282764619,8.566851378664975,8.383870329013364e-05,0.0023057659044906833,0.14219642310823688,True,False,HC1,
leave_one_country_aut,3104,21,153,7,0.06536496381276903,7.900879610607336,2.769420432468636e-15,-0.026966646837416165,-3.3904607900463666,0.013588901178710562,8.252659880857708,0.0017195976571960387,0.04872389963055908,0.14015397725788092,True,False,HC1,
leave_one_country_bel,3098,21,153,7,0.060319418503205484,7.145756865787738,8.950135582802632e-13,-0.03313598446212046,-4.147817449808822,0.016027636134816604,9.266320112217642,-0.006739628995866186,-0.18576403039257003,0.142427952250873,True,False,HC1,
leave_one_country_can,3098,21,153,7,0.0761869386066365,8.369202260261666,5.800960550851017e-17,-0.02707211950136382,-3.4005498489829913,0.013803084094163434,8.471725252838349,0.03729221726356728,1.3270526117234474,0.14649049056932473,True,False,HC1,
leave_one_country_che,3098,21,153,7,0.06545236744921813,7.826492794235611,5.016680500821756e-15,-0.027281363970675848,-3.5060068065260515,0.014668807984179221,8.965218422306693,-0.002573834931759659,-0.0717824208429982,0.14736029425543729,True,False,HC1,
leave_one_country_deu,3098,21,153,7,0.06140208414222469,7.479648640018796,7.45215815512512e-14,-0.028358363308127636,-3.650746076541298,0.01453957313164565,8.774603744025006,-0.006722610024115601,-0.18627982358101108,0.13898192154663092,True,False,HC1,
leave_one_country_dnk,3098,21,153,7,0.06082251235080198,7.360177611130991,1.836656903079388e-13,-0.03626213234132137,-4.601962535456805,0.01579459888802739,9.638353973085886,-0.0036687608541862804,-0.10226002902627038,0.14450660900798218,True,False,HC1,
leave_one_country_esp,3099,21,153,7,0.06091737053081876,7.47555313825469,7.687978446974441e-14,-0.024161103257324772,-3.0656588233661024,0.013531571847780153,8.101094329003613,0.0015196603312270251,0.04180470436954365,0.13612725763461186,True,False,HC1,
leave_one_country_fin,3098,21,153,7,0.06545464808069285,7.482940672090146,7.267769657663508e-14,-0.024366425073072608,-3.0384466557819296,0.013647078171749646,8.269364397179475,-0.0008340691787149662,-0.02272033384060083,0.14124657031310472,True,False,HC1,
leave_one_country_fra,3098,21,153,7,0.062313096844655774,7.562594090769747,3.9510911231957854e-14,-0.026490495289726863,-3.407887503906244,0.014244190559551638,8.689270585834562,0.0008341437871548667,0.022943029063606162,0.1399657441677976,True,False,HC1,
